Gene.names	p-value	log2
DPT	0,123747685	1,561995168
ARMC9	0,267045123	0,203686461
PSMD14	0,101653013	0,643943703
KIFAP3	0,733894429	0,157449248
SORT1	0,264700275	0,755769928
APPL1	0,846120911	0,104527837
PRSS2	0,090523749	0,594504059
SLC15A1	0,007122334	1,725124319
PRKAB1	0,080990174	0,951845498
SPR	0,915600482	0,203113137
SMIM5	0,114784037	0,667826389
MYADM	0,134280699	1,615110662
GPX3	0,004291141	1,904238782
ALDH1A3	0,032154454	1,002269191
SEMA5A	0,729529568	0,594101763
MOGS	0,15385011	1,093770416
OAF	0,349816099	0,215140629
SLC35F6	0,80414648	0,48251568
IDE	0,219249892	1,234415795
IGKV1-6	0,000552691	2,79055671
PCMT1	0,082155917	0,98007721
HPRT1	0,582892018	0,048869865
EXOC2	0,131857631	1,37931577
SPNS1	0,022525231	1,631343146
FABP3	0,735030009	0,134805797
GYS1	0,172297643	1,14115189
PAK2	0,7525974	0,16075418
EFR3A	0,654118229	0,082124434
MLEC	0,005919073	1,575061254
F11R	0,183942054	0,931693192
SYT7	0,285525469	0,128954252
CD38	0,322531392	0,560036928
FNBP1L	0,459177028	1,272213385
SDR9C7	0,084567453	1,356099167
TM9SF3	0,020969573	1,200549605
ARL15	0,022861508	1,310642414
INHBE	0,117647414	1,152123341
SLC26A11	0,002133279	1,834220526
NDUFB10	0,686154789	0,283791967
NQO2	0,148631843	1,189376428
TRIM28	0,211179138	1,627949676
PLBD1	0,45875143	0,287377884
NECTIN2	0,988776873	0,896938671
DIAPH2	0,000289223	3,220866861
ITGA2	0,010029616	3,481354526
PLP2	0,792207715	0,207940412
ILF2	0,142414963	0,649137928
GSPT1	0,32696098	0,62043242
NONO	0,000218011	3,871392829
CNN3	0,456469664	0,366412435
DNM1L	0,00025395	3,506700481
LRP5	0,306173782	0,368003685
TSN	0,180142001	0,961604486
GALNT18	0,118640264	1,895943804
SLC6A8	0,000135567	4,528711577
CAMP	0,031952278	1,412188291
ATP8A1	0,635643276	1,807698097
DDT	0,002555625	2,202527463
RPL10A	0,014294993	1,569472825
GAMT	0,65123941	0,800049324
VMO1	0,326585766	0,899243913
ERLIN1	0,902555423	0,084557611
ACSM3	0,530411974	0,293947352
TWF2	0,05962791	0,929547898
TMED7	0,093256615	1,126608541
FSCN1	0,007390315	2,251714969
ACSL5	0,89261148	0,178814696
RPL14	9,89E-07	3,4585765
SORL1	0,089935263	1,836135403
MVB12B	0,0006292	2,874943737
PLSCR4	0,067364857	1,018188018
STXBP3	0,007987212	1,524169331
PAICS	0,038921817	1,257524865
GBP1	0,090442478	1,102107304
RPS11	2,09E-05	5,512464712
CYP4F3	0,016029929	13,28771238
PSAP	6,20E-10	3,854766427
CDC37	0,195482912	0,705207976
EXOC3	0,169105658	1,656074061
APOC3	0,81434402	0,355546491
MNDA	2,01E-06	13,28771238
RPS10	0,082328566	0,602961118
PLOD1	0,759091107	2,327445123
DYNC1I2	0,034898067	1,930866121
PPA2	0,173651224	1,255257084
AK3	0,245586777	0,149967685
STRAP	0,004405228	1,915228671
RHPN2	0,407455891	0,425940366
GMPPA	0,144389752	0,944156841
MPI	0,652356926	0,023457561
NBEAL2	0,064679053	1,42492941
DIRC2	0,001183875	2,401588269
ENPP4	0,492548913	0,451347857
SERPINB2	0,354097499	0,373807967
DYNLL1	7,29E-06	3,91782274
PTGR2	0,788975945	0,460683103
ABCC2	0,007837618	1,992514628
MMP7	0,044366382	2,034342862
CD44	2,21E-05	13,28771238
SERPINH1	0,975303194	0,156526198
TXNRD1	0,335286112	0,504711989
ALPI	0,738914588	1,30410546
GLS	0,513628119	1,536995759
UPP1	0,01419771	2,399085968
KRT3	0,482138653	0,094875089
FECH	0,060058812	1,384171587
RPL21	0,019381445	0,691406035
EFNB1	0,020717527	1,578325374
CNTN1	0,044126099	1,508819331
YKT6	0,22305173	0,310539183
TXN	0,283188839	0,219345404
TARDBP	0,095497021	1,035345774
GSTA1	0,04373665	1,201717156
SPRR1A	5,79E-08	13,28771238
CRKL	0,352686602	0,929983768
AFDN	0,405048422	0,780012291
PTK6	0,001256518	2,193282687
EIF3M	0,088012108	1,227790663
RPS6KA3	0,008671085	1,396860311
HNRNPH2	0,010464737	2,460760586
RNF213	0,121485619	2,430277873
ATP6V1G1	0,603186037	0,08259763
STIP1	0,514300637	0,081933831
RPS5	0,000126169	2,461151141
RPL7A	0,000133574	2,998157926
TMED2	0,082768079	1,606787277
PRKAR1A	0,667998067	0,214094799
NQO1	0,076423367	0,538874052
GNAS	0,941128025	0,030855301
TM9SF2	0,006139156	1,268004081
CTDSP1	0,462895428	0,558813441
ENOPH1	0,75313121	0,541024303
IDH3B	0,666402816	0,2522897
ABHD12	0,04414785	2,1242894
MINDY1	0,113877383	0,84692376
NDUFS8	0,777738977	0,005262858
TSPO	0,000228979	3,538793746
PRKCI	0,002003636	1,853579513
CTBS	0,072279284	1,571361366
SUCNR1	0,838795784	0,043693746
KRT85	0,087228175	2,226886916
RPL13A	9,82E-06	3,385878598
WASHC4	0,002318177	1,810507
USP7	0,292582594	0,172050848
DIP2B	0,265627268	0,541949254
MIOX	0,433590823	0,424036954
C1S	0,766505898	0,11029693
NAP1L4	0,036060009	0,996290135
HDHD2	0,583819326	0,09160857
ACAD9	0,515791883	0,642906118
DHX15	0,071582621	1,856532932
XYLB	0,083913977	1,445791165
PON1	0,259226294	1,896299007
SEC24C	0,044377014	1,487428872
RPS15A	1,73E-05	2,020897513
MUC4	0,950484733	0,404647127
CNFN	1,39E-09	13,28771238
B3GNT2	0,801041367	0,204762642
PIPOX	0,02043425	1,849401844
SGPL1	0,122026382	0,856906771
NPM1	0,273493878	0,124821165
ALOX5	0,848723143	2,082508391
PRKACB	0,96932784	0,129312481
TAP1	0,095526981	2,008306041
HNRNPD	0,000296361	2,261381572
RAB11FIP5	0,319901147	0,20028456
UPK1B	0,041305887	1,00194932
DMD	0,503722377	0,108266849
PPIC	0,031926008	1,173434803
SNX1	0,941648628	0,003567429
CYP4F22	0,001784346	3,790856941
PLLP	0,002710461	1,16672925
NCF1	0,002085528	13,28771238
SSR4	0,034852582	0,793846117
LRRC57	0,514671547	0,138862882
PRSS23	0,090399167	0,909324379
SSR1	0,989030325	0,381719467
DYRK2	0,418494494	0,463679557
GSN	2,15E-06	3,810336031
KIF3B	0,328718471	0,350135117
ATP5L	0,049568684	1,222068701
CRYAA	0,132645745	0,806345459
RAB3A	0,381884878	0,433667004
MTOR	0,992127063	0,491488378
S100A10	0,103643809	1,183231514
UNC13D	0,128226356	3,13765812
AP1M1	0,420709136	0,529129372
LMBRD1	0,022011274	2,053924465
EIF3D	0,070641174	1,041021177
LMNB1	0,043483855	1,744075343
EEF1B2	0,035928154	1,38822179
RAP1GDS1	0,000269196	3,580561342
PPP2R5A	0,074255584	1,573521003
SLC1A5	0,005162121	2,470832531
DARS2	0,252879232	0,778160908
BPHL	0,171259565	0,535525025
ACSS3	0,262919193	0,676629288
CSRP1	0,001423037	3,080317129
ECHDC3	0,388751003	1,152097588
CDK5RAP2	0,490457355	0,220035691
SYNGR2	0,278381686	0,060332851
LRRC15	0,414563853	2,386187839
EFHD1	0,0882256	0,717317128
MT-CO1	0,024769634	2,727517921
IGLV1-47	0,102587686	0,61731492
GSTM4	0,128742211	13,28771238
GALK2	0,389262706	0,360096328
CD47	0,089000831	0,763969805
TTC22	0,060453302	1,310330928
KLK12	0,119953846	0,601824391
CDH1	0,668427568	0,171912141
MFAP4	0,426175525	0,005097822
CES2	0,002904598	2,608740091
AP2A1	0,558464189	0,538428029
PEX11B	0,015311496	2,596630494
ILK	0,000409087	4,13726882
SLC15A4	0,759391922	0,42649791
IGKV1-27	2,00E-05	5,258854078
REG1A	0,537775607	0,010820942
SHMT2	0,002021832	4,241034818
RASAL1	0,686746486	0,090664483
IGLV3-21	0,000182843	2,045216922
IGHV3-49	0,970142571	0,077705339
XPOT	0,017336807	2,400389944
RRAGA	0,327611818	1,169793307
NAXE	0,80366161	0,133728078
WBP2	0,215513609	1,015295097
ABCB11	0,011385138	2,414620165
HK1	0,311754776	0,153893538
ADSS	0,008894607	2,669248661
RAP2B	0,242412655	0,687594992
GCDH	0,445023062	0,479813769
TMEM106A	0,908593121	0,642180659
KLK13	0,130132104	1,761120117
KRT77	0,149160697	1,407171849
TIMP1	0,490778616	1,190354028
TPM3	0,19234704	0,231272372
ME1	0,048584734	5,380441965
CD151	0,07427915	0,75377903
EMC1	0,922008514	0,613896371
sep-09	0,00156676	2,425300911
TUBAL3	0,008975909	1,553274183
KLK10	0,867091364	0,210657116
KRT2	0,213046874	1,124364447
MAP2K1	0,003855491	2,144905941
DAG1	0,964758851	0,114734642
FBLN7	0,190775853	2,100718405
YOD1	0,00207023	2,880891824
FUK	0,029813608	1,417887699
TXNDC5	0,647659634	0,809063668
MUC13	0,593563333	0,034306106
ERAP1	0,014451315	1,926235097
UMPS	2,52E-08	13,28771238
CD68	0,000264935	13,28771238
PRSS3	0,898586541	0,285332076
PPM1A	0,945005038	0,070803128
CLDN2	0,74589166	0,294492785
FAM213B	0,000957396	2,599541103
IGHV3-72	0,650825664	0,032640746
ASPDH	0,087659717	1,371137995
LBR	0,148296582	1,359318809
ANTXR1	0,008394875	1,626387268
RIC8A	0,072277455	1,508906272
TMOD3	0,003455003	1,320348554
DNPEP	0,023958693	1,050997046
PGRMC1	0,012873061	1,115399553
ENDOU	0,002113209	2,167525139
ALDH18A1	0,640583732	0,842408587
CRIM1	0,348606423	0,337200188
ADH1C	0,066784784	1,231788492
STXBP1	0,145669458	0,508096117
RABGGTA	0,018814998	1,775900647
PDXP	0,005440504	2,590556165
WASF2	0,085774064	1,610317088
SLC28A1	0,154164977	0,586142075
NPHS1	0,870894861	0,336026011
CARHSP1	0,00080998	2,320338978
RAD23B	0,445006266	0,443217663
SDR16C5	0,008236707	3,404044868
SLC5A11	0,656994551	0,626448636
TINAGL1	0,968059689	1,023840474
DMXL1	0,185864945	0,924540017
APOBEC3A	0,004279379	3,001395918
CHI3L1	0,681308277	1,02238676
DDR1	0,142070857	2,358029129
STX12	0,708610304	0,049173099
IGHV6-1	0,944766348	0,129872243
ARG1	0,27927382	1,144878279
ASPA	0,181090235	1,352055725
RIDA	0,386466288	0,81322288
RILPL2	0,815755961	0,466478375
AMN	0,946479564	0,002252999
RPL12	0,001334741	2,102983153
MATR3	0,145432464	2,417132861
INPP5A	0,825736986	0,071243265
ISOC1	0,246647617	0,954353222
PNPO	0,421487259	0,182601536
OPA1	0,488019862	0,651272313
IGHV4-59	0,351392644	0,938661801
KLK1	0,637122815	0,58843001
HK2	0,00941675	3,925834783
YARS	0,000835373	2,778564576
PTGES3	0,000107315	2,808482189
SDSL	0,180021062	1,369067051
LCAT	0,213351333	4,310447264
PSMB6	0,265880618	0,746486907
HNRNPF	0,51005892	0,545902718
TRIM14	0,079379244	4,586477931
HSD17B8	0,005243121	2,293696373
MACROD1	0,168196719	0,584240038
NDUFA12	0,024371809	1,91380767
DERA	0,423064756	0,369900438
HINT1	0,006724446	1,275401932
TSPAN4	0,180407236	0,782892263
BCR	0,994689677	0,105352424
CAD	0,430841573	0,086440474
HSD17B11	0,003630941	3,620866183
RPL17	0,002052628	2,055547223
OAS2	0,449507622	1,258090584
GALNT1	0,001210178	3,907119546
NCK2	0,001824208	2,164206583
ITGB3	0,295739183	1,23774049
RPS17	1,62E-05	13,28771238
HARS	0,907062168	0,151129857
COPS2	0,00419343	2,651480735
SNX6	0,021486998	1,491921642
MINK1	0,756737529	0,371637352
HMCN1	0,406582511	1,400288388
CPNE6	0,946105028	0,328062338
F12	0,758759832	1,910413369
VAMP7	0,633653387	0,501110318
MICAL1	0,625290761	0,595113111
RNASET2	0,188498668	1,485492165
BBS9	0,004165162	1,418537771
NRBP1	0,002233649	3,2611905
FBP2	0,25454149	0,504289494
HNRNPH3	0,254917911	0,718383603
ARL1	0,108679982	0,213930441
VASP	0,000455536	3,107243546
HDLBP	0,048088768	2,222740454
VAMP3	0,398461916	0,437575749
ANGPTL6	0,56211767	0,150351815
EIF2S1	0,549693577	0,340491582
TSPAN8	0,949731451	0,402581392
COX5A	0,764586841	0,952599014
SEC61A1	0,325265995	1,073097089
TTC37	0,21652629	0,833208137
IL18	0,000716611	2,506023491
TMED4	0,383784428	0,847333071
MBOAT7	0,868267687	0,087336715
STK39	0,01916426	1,375815421
DCDC2	0,331676268	0,494469684
GLRX3	0,671240935	0,162859987
PDGFRB	0,351150463	0,16931623
NOS2	0,416786129	13,28771238
RAB11FIP1	0,48722224	0,172748238
DHRS9	0,030753177	2,793139981
TBCD	0,465520467	0,33836366
MRI1	0,092721264	0,894606556
SEC13	0,022125727	2,021488789
APLP2	0,051529642	1,15146146
TUBB3	0,010298017	1,016411291
TNPO1	0,164069813	1,302004955
PROCR	0,463331513	0,182205403
ARPC5	0,018623242	1,517245568
HYDIN	0,015714281	1,413503869
ZC3HAV1	0,084420585	1,190073461
MAPK1IP1L	7,15E-05	3,965356171
PCDH12	0,715945034	0,242611668
SHPK	0,455159091	0,025532051
EXOC7	0,003067212	2,671664378
SUGT1	0,956994188	0,218254562
PDE8A	0,827588623	0,43661655
STAM2	0,07333952	1,545417589
HMGCS1	0,003024778	3,15742241
NFASC	0,025678639	1,355352067
STS	0,00793782	3,401843584
PAM	0,796024047	0,540602704
PFN2	0,416014116	0,379464209
UBE2K	0,169462936	0,067751287
ANKRD13A	0,371332525	0,930453474
EPHA2	0,006669144	0,874751561
SPP2	0,059240807	1,185757005
CCDC150	0,049474331	1,048973408
HM13	0,946060298	0,309304321
FCGR1A	0,868224049	0,220365022
LMNB2	0,177379268	0,553201251
MAN1B1	0,888557327	0,03193781
EIF3H	0,070506273	1,454442442
ENDOD1	0,070827274	0,786200665
GNA15	0,018465708	4,397502238
MCEMP1	0,361818425	1,422466135
PRMT5	0,920433008	0,770970993
FCGR3B	0,504426956	1,302384636
ATP2B4	0,010757007	3,709918368
RIPOR1	0,022276456	3,587777204
TM9SF4	0,786995763	0,120156557
LIN7C	0,018188624	0,697959029
PDLIM1	0,308973381	0,367251532
STRN	0,015090149	1,703472115
HRAS	0,278341909	0,047182638
RPL27A	8,00E-05	2,633224264
PPP1CA	0,20539204	0,961585191
AGTRAP	0,858889622	0,037964873
UGT2A3	8,01E-05	13,28771238
OPTN	0,05443368	1,322133153
SLC2A9	0,439049889	0,092622427
DMGDH	0,79601272	0,445064314
FARSA	0,048993941	0,757985423
M6PR	0,526470836	0,294159835
ARF5	1,76E-05	13,28771238
ASPH	0,038804296	3,684924795
TSKU	0,536222466	0,990932669
CIB1	0,079902577	2,016341498
COPE	0,223317436	1,484035953
DYSF	0,10063612	13,28771238
FABP1	0,563824028	0,118458793
ACTR1B	0,000415419	2,22229253
NPC2	3,51E-05	13,28771238
GALNT3	0,017680017	1,792360751
TRIM38	0,102600849	1,057438448
SNRNP200	0,474683075	0,728347619
PITPNB	0,016539878	2,427117895
RAB9A	0,076424861	1,158299356
CUL4B	0,002161172	2,722431868
TNPO3	0,002982235	4,427808963
RBM47	0,001427508	2,571314594
ATP9A	0,865231821	0,400924387
HIP1R	0,024986919	2,146763781
CUL1	0,004933631	2,405241316
DDB1	0,147511675	0,123444508
KALRN	0,001048962	2,894649534
COQ9	0,42430712	0,716169181
CREG1	0,001983991	2,289250969
NDUFV2	0,370140079	0,400478531
HNMT	0,438805594	0,380824662
CFHR1	0,802302215	2,047579028
EIF3I	0,026378311	1,992113305
RPL8	0,004413245	1,752267059
UBE2L3	0,067199534	0,893336266
TCIRG1	0,067453163	1,890651799
ITIH5	0,849635586	0,182586289
HLA-A	0,024206141	13,28771238
SEC14L2	0,68567098	0,028077316
STAT6	3,72E-05	13,28771238
CUL5	0,292637264	0,786149704
LGALS8	0,86453554	0,428728001
SPTLC1	0,027529722	2,654589758
RPL13	0,005474834	0,473464392
LIPA	0,009538684	2,035771589
EIF4G2	0,000595829	13,28771238
UPK3B	0,922331486	0,275962065
PLAA	0,450570382	1,153764045
IGHV5-51	0,664009802	0,555574544
NIPSNAP2	0,081858099	3,120960078
MT-ND5	0,002275077	2,445068593
GPS1	0,000891037	4,315302646
ESRP1	0,025467015	1,378955713
PRPF8	0,016490476	3,170743276
BPIFB2	0,628116248	0,525095032
PI4K2A	0,083016605	1,899430473
MLPH	0,456345679	0,151337671
ANXA10	0,13007951	13,28771238
KPNA6	0,001409606	2,680666821
NAP1L1	0,523160957	1,196333702
TUBB2A	0,912531452	0,094278168
LTBP2	0,462049201	0,737880903
GLIPR2	0,134656814	0,170709187
REEP5	0,00490382	1,647809102
VAC14	0,166965072	1,123861704
GRB7	0,246818866	0,996774309
SNX27	0,958314741	0,098550072
MTCH1	0,022559344	3,098588183
TAPBP	0,014843183	2,571256197
AGR2	0,068027641	2,29444388
PSMD8	0,031125841	0,008759333
ABCF3	0,007395401	1,978981435
PTPRG	0,465915329	1,586674897
NF2	0,298976035	0,573315024
SPCS2	0,009065861	3,083035375
MROH1	0,013256991	3,015322073
TMEM40	0,057358307	1,204146855
NIPSNAP3A	0,315577881	0,814118821
LNPEP	0,442435372	0,232178279
CLDN4	0,899534354	0,040164484
DHRS4	0,007418833	1,925407262
CRP	4,97E-05	13,28771238
EEA1	0,15763833	2,364685422
DOCK9	0,868673974	0,98216151
UPB1	0,169739827	1,409946155
CLPX	0,425877652	1,440881866
MT-ND4	0,123423959	1,515592321
C8G	0,292849943	3,107842173
GJB1	5,78E-06	4,506671704
PON2	0,477981524	0,594213102
TC2N	0,611699253	0,676628441
FAM3C	0,104993323	1,774929525
ARPC5L	0,095229199	0,55258081
ECI2	0,300558595	0,868541897
CPN1	0,016472094	13,28771238
EIF4A3	0,075663312	1,765593024
MBTPS1	0,292170608	1,256687643
SRPRB	0,96858235	0,29877289
PRKAA2	0,203243258	0,568933917
UAP1L1	6,59E-05	3,262966889
CHDH	0,693296937	0,372974869
ARL6	0,0055474	2,462984647
AKAP3	0,700237797	8,348480229
AHSA1	0,370540387	0,580145431
HPN	0,324742752	0,585272915
ADD1	0,273489047	1,39698944
EPHB4	0,526924166	0,236893598
EFHD2	0,005287463	2,303060441
GAL3ST1	0,073835322	1,861149427
TMEM2	0,788147233	1,198845771
CROT	0,260556752	2,3104637
CYB5B	0,047991951	1,683468534
ODF2	0,04411627	13,28771238
WDR26	0,121815663	1,508811572
HINT3	0,116981492	0,926374841
KRT73	0,834526391	0,217121677
PRKCSH	0,346163139	0,201214252
HAAO	0,007971921	2,205452414
MYO18A	5,74E-05	13,28771238
KIAA1468	0,019847215	2,477884942
SH3GLB1	0,701084119	0,351675493
KRT86	0,80857144	0,379963738
SNX3	0,000299751	3,734748048
NCL	0,076054844	3,630737044
SEC11A	0,003673655	2,404381519
CYP4A11	0,014832626	3,152366918
CAPS	0,001002379	3,493887902
TMEM109	0,089278778	1,154707619
RAB3GAP2	0,000245811	3,395816614
CHCHD3	0,060488708	1,685079484
TMCO1	0,279531669	0,442644022
AGPS	0,001244852	3,732691878
ISG15	0,382128862	0,319782471
EIF4E	0,009779845	2,700915406
GUK1	0,000516462	13,28771238
HDHD3	0,350915606	1,198737232
DDX19A	0,393667168	0,564990382
MPC2	0,185641175	0,998859174
LAMB2	0,080276423	4,396239569
TJP1	0,004589152	2,508095813
NHLRC2	0,108620082	1,138727017
L2HGDH	0,451919915	1,223646773
ATAD3A	0,557133198	0,604762805
MINPP1	0,676184439	1,192604945
DIP2C	0,326442678	0,130885445
ADK	0,037505376	2,580689306
RPS6	0,000490828	1,790275672
TAP2	0,050341264	1,914656543
ACSF3	0,076913094	3,170637643
SCARB1	0,015135419	1,807111883
RHOC	1,94E-05	13,28771238
TM4SF1	0,069577934	1,174172689
RPS23	0,001226017	1,823043919
TOP2B	0,527282112	0,66767256
SEC23A	0,01495972	2,694877885
NADSYN1	0,406512757	0,408687925
MUC6	0,925716461	4,919588067
SCAMP4	0,36020933	0,45422573
MGST2	0,039875867	1,084620101
UQCRFS1	0,926929668	0,266809859
UQCRFS1	0,035518022	1,343794889
LSS	0,10047667	2,74177165
PRPS1	0,312140337	0,205853763
MTAP	0,465027915	0,363348204
ABHD17C	0,1500445	0,834581985
MCU	0,084477849	13,28771238
THEM6	0,000265418	13,28771238
USMG5	0,655288578	0,063144936
SH3BGRL3	0,001549765	1,500737163
RTRAF	0,103793047	2,003492162
B3GNT3	0,133120396	1,519223368
NACA	0,048079174	1,681120488
ITGB5	0,145705131	1,03114288
FNTA	0,018910477	2,677466789
LY6D	0,057406748	0,897971859
PPP2R5D	0,012662378	2,198805505
COBLL1	0,698347127	0,688440127
ABCF1	7,73E-05	13,28771238
ACSS2	0,997563783	0,525470209
IGHV1-3	0,000692422	13,28771238
PTBP3	0,43612535	0,585447808
IGKV1-33	2,32E-06	5,528831086
RPL19	0,254606248	0,529029442
NCF4	0,019297294	13,28771238
PIP4P1	0,087878181	1,366503135
PLBD2	0,564788697	0,893552235
TMX1	0,029319263	1,410526987
BCAT2	0,703178884	0,133270703
IGHV3-30-5	5,02E-06	13,28771238
RPS20	0,000184687	2,773863045
RPS24	3,40E-05	13,28771238
SLC17A1	0,61669	0,522228063
TMEM160	0,005524918	3,888614041
AP3M1	0,188490919	1,032533894
IGKV2-24	0,832695366	0,624490151
PGK2	0,285360248	7,166674322
MAN2A2	0,366179968	2,099487407
ST3GAL4	0,4768647	0,569511876
CLEC14A	0,259788492	2,920961068
RTN4RL2	0,017805646	2,89807022
SFXN2	0,958674925	0,300947929
RAB34	0,03493828	2,596526856
IFT172	0,474087362	1,280618206
MYO5A	0,779502404	0,443485868
SCAMP3	0,304749406	1,350392282
TROVE2	0,000123555	3,711210501
IGF2R	0,398651552	1,201853587
FXYD2	0,951670212	0,237952609
TRIP13	0,43241407	1,365479224
LLGL2	0,825632189	0,027283458
NPLOC4	0,815496941	0,205560936
AIDA	0,514523437	0,06728135
LXN	0,782968797	0,560097802
EPB41	0,791538928	0,040584852
ART3	0,767626166	1,319879887
ADGRG1	0,016946049	1,679919972
EPHB6	0,804035824	2,325070014
ST6GAL1	0,381427379	1,488511681
IDH3G	0,146900902	1,531511892
ADGRF1	0,467058157	1,021415424
UBTD1	0,543003694	0,897281112
PCDHGC3	0,223856514	1,178765168
KRT76	0,001465867	5,110049908
PPP3CA	0,942694279	0,340153115
DNAJC3	0,485191459	0,260539744
RTKN	0,995080023	0,517553476
ITM2C	0,874378722	0,272150865
FARP1	0,241791467	2,204374642
KRIT1	0,711638569	0,219251828
FGR	0,064031098	13,28771238
ADSL	0,022066418	2,004976208
ABCE1	0,068884178	1,943249881
RAB39A	0,312730223	0,370830115
SYTL4	0,31475341	0,907997698
MMRN2	0,300601177	1,430941599
SARS2	0,915462811	0,100407033
SHANK2	0,150513333	0,683730323
KRT23	0,868023787	0,073119386
CLN5	0,928731349	0,763402691
ALOX5AP	0,05248944	2,029827342
UPF1	0,004783229	4,097219529
SCAMP1	0,021479516	1,916162327
PGC	0,111538625	2,32336778
SDC4	0,002475659	3,436831075
AKT1	0,018136835	1,687058078
SNX17	0,715090241	0,921033418
PITRM1	0,443148097	0,221639187
SLC38A2	0,106139304	1,722320117
STARD10	0,832536026	0,001582504
CTH	0,036248367	1,312691191
CORO7	0,228599192	0,276962884
GFM2	0,025343765	13,28771238
NPTN	0,00807719	13,28771238
TCAF2	0,001064185	13,28771238
RNASE3	0,914427429	0,676845885
AKT2	0,000550121	2,580355614
CLCN7	0,173488264	1,278177015
SLC2A13	0,000144798	13,28771238
GLDC	0,204887583	0,794736609
STAT5B	0,029964854	2,087588464
NAAA	0,015207354	3,145635342
PLA2R1	0,160695731	1,551921142
ANKRD22	0,000450457	13,28771238
NCLN	0,683635754	0,702888632
PLEKHB2	0,688353868	0,49360593
SLC46A1	0,037314516	1,830140616
HINT2	0,096356263	0,958652636
SEL1L	0,62532668	0,143606661
PPME1	8,51E-05	4,351215455
UPK3BL2	0,495125848	1,126501295
CEP104	0,363221439	0,426345496
ATP5G1	0,008474012	13,28771238
EPCAM	0,014336824	1,98942012
NPR3	0,432198881	1,948490119
PI4KA	0,185559808	0,864494348
ENPP2	0,045871139	4,035800234
SF3B3	0,997375414	0,056596694
IPO4	0,213627687	2,826274275
POMGNT1	0,112886942	3,550800198
NRP1	0,209199099	2,545177563
ATP11A	0,031897492	1,157438152
EIF4H	0,055503413	1,305824005
CDC42BPA	0,674102621	0,505664756
LPCAT3	0,382541506	1,330684057
ITFG1	0,303608574	0,529663897
VPS18	0,233484709	1,200056909
AMACR	0,001361979	13,28771238
LYVE1	0,13550064	13,28771238
VWA8	0,574161322	0,219741292
DYNC1LI2	0,545481723	0,369067599
ZG16	0,653253632	0,648878409
SF3B1	0,010853508	2,547869719
ACP1	0,655544467	0,143785436
CTNNA2	0,132459977	0,353253499
DAD1	0,001768088	3,505393467
STX4	0,690748178	0,237353887
EXOC8	0,001060002	3,206209827
GMPR2	4,96E-05	13,28771238
MCTS1	0,002526639	13,28771238
B3GALT5	0,006622016	1,736432341
BICDL2	0,125221997	3,519572765
BPGM	0,075224459	2,080987139
NCF2	0,05374064	13,28771238
AFM	0,049485076	13,28771238
GCLM	0,995492142	0,391661896
AKR1D1	0,070931622	0,553245921
SPCS3	0,309693549	0,622053787
G3BP1	0,033520618	1,474339112
VPS51	0,007463902	3,805428198
KRT6C	3,92E-05	13,28771238
DPM1	0,217927278	0,703348008
C8A	0,176060724	13,28771238
LAMC1	0,075326358	3,322931792
C6	0,334946228	13,28771238
NOMO2	0,492985263	1,017618451
MTX1	0,066688838	3,155177315
HLA-B	0,009646006	13,28771238
OGFOD3	0,162494985	1,251566195
SLC13A1	0,135084034	0,838083225
EXOC1	0,1830389	1,808237001
NUBP2	0,246834639	1,276543624
CRISP3	1,27E-05	13,28771238
EEFSEC	2,78E-05	13,28771238
RBBP4	0,017250224	1,853079861
STK4	0,112546221	2,235511129
MTM1	0,752871754	0,412957693
PPP1R21	0,337347542	0,750025817
PPP4R1	0,02695451	1,039987564
FAM162A	0,011986156	1,508102083
CRCT1	0,623942689	1,016274196
SLC25A20	0,486619526	0,195001173
NDUFS7	0,049016161	1,872352849
PSMB8	0,800886057	0,450228097
GK2	0,007263903	0,675228106
HSP90AB4P	0,724893237	0,140612882
RNASE6	0,309031398	0,73553485
NT5C3A	0,05410246	1,680380471
PPT2	0,025490949	4,073742112
PTPN1	0,097377613	2,288398702
FBL	0,109432824	1,662928567
ECI1	0,000512814	3,886893238
AK2	0,286304645	1,423262027
PURA	0,885681005	0,173648576
ANO7	0,856758711	0,613630768
MIPOL1	0,032239713	3,900054201
FLVCR2	0,009404178	2,93321469
RER1	0,090602212	1,323859967
S100A6	0,056907821	1,157106472
SI	0,360291484	2,519212632
RAC2	0,000140942	13,28771238
BAG6	0,968166769	1,752065404
KCNJ1	0,175803742	0,247904927
RHOB	9,78E-05	13,28771238
NUCB2	0,065058118	0,927364558
SDF4	0,43066896	2,060629511
HDHD5	0,589871811	0,125718552
WDR61	0,038612341	1,407126878
MFSD1	8,70E-05	5,856874075
BPIFA1	0,472670391	1,503639225
DUOX1	0,950113722	3,029731992
CD84	0,489002357	0,036847424
SMIM1	0,030138008	2,919801624
IGFBP2	0,291536946	1,85467767
DDX6	0,00121717	13,28771238
CASP14	0,276690475	1,46363013
GALNT7	0,104646801	2,345471733
MMS19	0,032405307	2,622096186
CD248	0,559588961	0,238982845
TMEM9	0,026467569	3,459877788
GPR137B	0,00070253	3,154754804
SRP72	0,089054357	1,74781733
BCKDHB	0,008131466	13,28771238
TOR1AIP1	0,243812515	1,807807417
DYNC2H1	0,309689962	0,386103106
NDUFA13	0,10608816	1,111145695
DMBT1	0,646041466	0,113281413
MEMO1	0,017811394	2,341150087
DNAH12	0,053053732	1,204135242
